序号,效力层级,法规名称,发布机关,文号,发布/现行版本日期,时效性,适用范围,来源,来源URL
1299,司法案例,深圳市大东房地产有限公司、深圳缔飞无人机设计工程有限责任公司租赁合同纠纷首次执行执行裁定书,,FBMCLI.C.419536602,,执行裁定书,深圳市大东房地产有限公司、深圳缔飞无人机设计工程有限责任公司租赁合同纠纷首次执行,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce137c7c3253cb95b1eed6bdd60f3f5
1300,司法案例,深圳市大疆创新科技有限公司与广东澄星无人机股份有限公司、汕头市臻美至尚玩具有限公司侵害实用新型专利权纠纷一审民事裁定书,,FBMCLI.C.8790862,,民事裁定书,深圳市大疆创新科技有限公司与广东澄星无人机股份有限公司、汕头市臻美至尚玩具有限公司侵害实用新型专利权纠纷,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3bec7a0d88e590cd62603555cdb7
1301,司法案例,深圳市奥贝尔电子有限公司、东莞市雅联无人机科技有限公司买卖合同纠纷首次执行执行裁定书,,FBMCLI.C.333551286,,执行裁定书,深圳市奥贝尔电子有限公司、东莞市雅联无人机科技有限公司买卖合同纠纷首次执行,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a5c016f2cd8bf081ef353ed87b773
1302,司法案例,深圳市奥贝尔电子有限公司、东莞市雅联无人机科技有限公司财产保全执行实施类执行裁定书,,FBMCLI.C.106236220,,执行裁定书,深圳市奥贝尔电子有限公司、东莞市雅联无人机科技有限公司财产保全执行实施类,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4794c952a288c204a4e5b416599e
1303,司法案例,深圳市奥贝尔电子有限公司与东莞市雅联无人机科技有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.112617551,,民事判决书,深圳市奥贝尔电子有限公司与东莞市雅联无人机科技有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4cae8c922a8bff651bc533569e128
1304,司法案例,深圳市富力电池有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.79380433,,民事判决书,深圳市富力电池有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc40930a80e4bb85ddaf5361312037
1305,司法案例,深圳市富微科创电子有限公司与广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,FBMCLI.C.73564482,,执行裁定书,深圳市富微科创电子有限公司与广东澄星无人机股份有限公司买卖合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4fc860517f24554d0c936d9caca34
1306,司法案例,深圳市昊升微电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.81822981,,民事判决书,深圳市昊升微电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4fd0e6f1d11212f2d78aab5c2ec78
1307,司法案例,深圳市星光威技术有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.99373206,,民事判决书,深圳市星光威技术有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc462724f116546ebc7a6ab5e1e168
1308,司法案例,深圳市爱飞无人机技术有限公司、深圳市大智无疆科技有限公司保证合同纠纷民事一审民事裁定书,,FBMCLI.C.418253810,,民事裁定书,深圳市爱飞无人机技术有限公司、深圳市大智无疆科技有限公司保证合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce12e191a5f913900c4c9315ff31713
1309,司法案例,深圳市蝉翼无人机有限公司、深圳市永浤达科技有限公司等买卖合同纠纷民事一审民事判决书,,FBMCLI.C.404752158,,民事判决书,深圳市蝉翼无人机有限公司、深圳市永浤达科技有限公司等买卖合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1f90e8881099e53ab118fda95b0af
1310,司法案例,深圳市风林文化传播有限公司诉深圳智航无人机有限公司委托合同纠纷案,,FBMCLI.C.52441750,,,深圳市风林文化传播有限公司诉深圳智航无人机有限公司委托合同纠纷案,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3bba8baf12aa822e39e604a17f834
1311,司法案例,深圳市飞客无人机科技有限公司与冯文扬劳动合同纠纷一审民事判决书,,FBMCLI.C.104826988,,民事判决书,深圳市飞客无人机科技有限公司与冯文扬劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48f01108624add8d85c74d6901f2f
1312,司法案例,深圳市飞客无人机科技有限公司与刘振劳动合同纠纷一审民事判决书,,FBMCLI.C.104798627,,民事判决书,深圳市飞客无人机科技有限公司与刘振劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4481bc9975ac0b0229690abaed7c
1313,司法案例,深圳市飞客无人机科技有限公司与蒋韬劳动合同纠纷一审民事判决书,,FBMCLI.C.105341397,,民事判决书,深圳市飞客无人机科技有限公司与蒋韬劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4493410a380eb9791dae8a44fdcd
1314,司法案例,深圳市飞客无人机科技有限公司与韦建钰劳动合同纠纷一审民事判决书,,FBMCLI.C.105436684,,民事判决书,深圳市飞客无人机科技有限公司与韦建钰劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46eec8ab4fc747bc58f7290d9e32f
1315,司法案例,深圳市飞客无人机科技有限公司买卖合同纠纷执行实施类执行裁定书,,FBMCLI.C.111188798,,执行裁定书,深圳市飞客无人机科技有限公司买卖合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4627f45d563af52c5c552e6745e2
1316,司法案例,深圳市高端无人机有限公司、深圳市派斯蒙电子商务有限公司、深圳市环球易购电子商务有限公司等其他案由执行实施类执行裁定书,,FBMCLI.C.85800916,,执行裁定书,深圳市高端无人机有限公司、深圳市派斯蒙电子商务有限公司、深圳市环球易购电子商务有限公司等其他案由执行实施类,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4415b88ac3b6100e05e548433df4
1317,司法案例,深圳市高端无人机有限公司、胞集团有限公司等买卖合同纠纷首次执行执行裁定书,,FBMCLI.C.404352295,,执行裁定书,深圳市高端无人机有限公司、胞集团有限公司等买卖合同纠纷首次执行,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1caa10c831792be07a581d46c8f91
1318,司法案例,深圳市高端无人机有限公司、胞集团有限公司等买卖合同纠纷首次执行执行裁定书,,FBMCLI.C.404443966,,执行裁定书,深圳市高端无人机有限公司、胞集团有限公司等买卖合同纠纷首次执行,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1638326b1cc7661be52c5b1b45e5
1319,司法案例,"深圳市高端无人机有限公司与深圳市派斯蒙电子商务有限公司,深圳市环球易购电子商务有限公司,深圳市君仕莱电子商务有限公司买...",,FBMCLI.C.86557806,,,"深圳市高端无人机有限公司与深圳市派斯蒙电子商务有限公司,深圳市环球易购电子商务有限公司,深圳市君仕莱电子商务有限公司买...",司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc455078d30e480f20d40492624bb1
1320,司法案例,深圳市高端无人机有限公司与深圳市派斯蒙电子商务有限公司、深圳市君仕莱电子商务有限公司买卖合同纠纷一审民事裁定书,,FBMCLI.C.87589320,,民事裁定书,深圳市高端无人机有限公司与深圳市派斯蒙电子商务有限公司、深圳市君仕莱电子商务有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4fba406a246a80c2ced98bbb860d
1321,司法案例,深圳慈航无人智能系统技术有限公司、深圳慈航无人机自主系统技术有限公司劳动合同纠纷二审民事裁定书,,FBMCLI.C.316375054,,民事裁定书,深圳慈航无人智能系统技术有限公司、深圳慈航无人机自主系统技术有限公司劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0aef3b544fc6d1ad1833e75ef690e5
1322,司法案例,深圳慈航无人智能系统技术有限公司、深圳慈航无人机自主系统技术有限公司等与黄志劳动合同纠纷一审民事判决书,,FBMCLI.C.316383537,,民事判决书,深圳慈航无人智能系统技术有限公司、深圳慈航无人机自主系统技术有限公司等与黄志劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ab7cc1a02766c7c6a7f18e860eb3
1323,司法案例,深圳智航无人机有限公司、陀荣鑫申请撤销仲裁裁决特别程序民事裁定书,,FBMCLI.C.307636709,,民事裁定书,深圳智航无人机有限公司、陀荣鑫申请撤销仲裁裁决特别程序,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a3f9bf72bd825e4685aac7731dd2
1324,司法案例,深圳红太狼科技有限公司、辽宁壮龙无人机科技有限公司买卖合同纠纷民事一审民事裁定书,,FBMCLI.C.410492553,,民事裁定书,深圳红太狼科技有限公司、辽宁壮龙无人机科技有限公司买卖合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce16e27e4048f6dcb37c319c6e034e
1325,司法案例,深圳酷农无人机产业开发应用有限公司、林克合同纠纷二审民事裁定书,,FBMCLI.C.318482034,,民事裁定书,深圳酷农无人机产业开发应用有限公司、林克合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a56fcedbef5192eaace321c6432ed
1326,司法案例,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事判决书,,FBMCLI.C.108280090,,民事判决书,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc458e2c1465b87785c113c9cd370a
1327,司法案例,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事裁定书,,FBMCLI.C.108332890,,民事裁定书,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc409164252d21633e7965078c352
1328,司法案例,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事裁定书,,FBMCLI.C.108437491,,民事裁定书,温卫洪与陈加华、广东澄星无人机股份有限公司民间借贷纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4266648672ea6708d3caa3c908fa
1329,司法案例,湖北卓沃信息科技有限公司、西华县疆豫无人机科技有限公司等服务合同纠纷民事一审民事判决书,,FBMCLI.C.409189937,,民事判决书,湖北卓沃信息科技有限公司、西华县疆豫无人机科技有限公司等服务合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1aa16c6e1c012a46c5d563316bf19
1330,司法案例,湖北昂吉无人机科技有限公司、内蒙古瞰界科技有限公司民事一审民事裁定书,,FBMCLI.C.559321284,,民事裁定书,湖北昂吉无人机科技有限公司、内蒙古瞰界科技有限公司民事,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206eaf5893d77bbe0206e599e49348
1331,司法案例,湖南某无人机科技有限公司与新疆某传媒有限责任公司一审民事判决书,,FBMCLI.C.563796305,,民事判决书,湖南某无人机科技有限公司与新疆某传媒有限责任公司,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816c503ab938997305fa112e5d3cca
1332,司法案例,湖南某某无人机通用航空有限公司、邵阳某某建设工程有限公司建设工程合同纠纷首次执行执行通知书,,FBMCLI.C.564826124,,通知书,湖南某某无人机通用航空有限公司、邵阳某某建设工程有限公司建设工程合同纠纷首次执行执行,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816ba5841b9306973772859a64981
1333,司法案例,湖南知云无人机科技有限公司、湖南中斯航迹无人机科技有限公司服务合同纠纷执行实施类执行裁定书,,FBMCLI.C.115792006,,执行裁定书,湖南知云无人机科技有限公司、湖南中斯航迹无人机科技有限公司服务合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4d14ad72ab9cbb14e8568a86f006
1334,司法案例,湖南知云无人机科技有限公司与湖南中斯航迹无人机科技有限公司服务合同纠纷执行实施类执行通知书,,FBMCLI.C.317858074,,通知书,湖南知云无人机科技有限公司与湖南中斯航迹无人机科技有限公司服务合同纠纷执行实施类执行,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a3294cb55c26fd6c2bd8f9757319
1335,司法案例,湘0103民特99号湖南中斯航迹无人机、湖南知云无人机申请司法确认调解协议纠纷一审民事裁定书,,FBMCLI.C.111663968,,民事裁定书,湘0103民特99号湖南中斯航迹无人机、湖南知云无人机申请司法确认调解协议纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4cce15cc6395b11376ea51c3a2a1
1336,司法案例,滁州鸿飞无人机科技有限公司、赵烽等首次执行执行裁定书,,FBMCLI.C.503000332,,执行裁定书,滁州鸿飞无人机科技有限公司、赵烽等首次执行,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206cc88b26e5d9a5e44fd3dab1c75a7
1337,司法案例,滁州鸿飞无人机科技有限公司、赵烽等首次执行执行裁定书,,FBMCLI.C.503001227,,执行裁定书,滁州鸿飞无人机科技有限公司、赵烽等首次执行,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206eb4fb01398792e07ca2254d8d9b
1338,司法案例,滁州鸿飞无人机科技有限公司、赵烽等首次执行执行裁定书,,FBMCLI.C.503042580,,执行裁定书,滁州鸿飞无人机科技有限公司、赵烽等首次执行,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206ec3567ad3134463275c6955f702a
1339,司法案例,潘妙法;航天彩虹无人机股份有限公司房屋买卖合同纠纷一审民事判决书,,FBMCLI.C.564609191,,民事判决书,航天彩虹无人机股份有限公司房屋买卖合同纠纷 | 涉诉企业:潘妙法,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816d57e2f795e22249592728720301
1340,司法案例,潘李荣、深圳天神无人机发展有限公司劳动合同纠纷二审民事判决书,,FBMCLI.C.317342223,,民事判决书,潘李荣、深圳天神无人机发展有限公司劳动合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a2b098283d416f8636a9cbcb1b14
1341,司法案例,烟台云都海鹰无人机应用技术有限公司与中国平安财产保险股份有限公司青岛中心支公司财产保险合同纠纷民事一审民事判决书,,FBMCLI.C.409719998,,民事判决书,烟台云都海鹰无人机应用技术有限公司与中国平安财产保险股份有限公司青岛中心支公司财产保险合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1c39b7008a4d4eff8578da805246c
1342,司法案例,烟台云都海鹰无人机应用技术有限公司与威海万准测绘有限公司买卖合同纠纷一审民事裁定书,,FBMCLI.C.118723177,,民事裁定书,烟台云都海鹰无人机应用技术有限公司与威海万准测绘有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b68e31d354cd888d9646bc914fb
1343,司法案例,熊花与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书,,FBMCLI.C.62358768,,执行裁定书,熊花与洛克希德（武汉）无人机科学研究院有限公司劳动争议,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f34f81fbded3721c50685ac338421a
1344,司法案例,牛某某某;陕西某某无人机科技有限公司运输合同纠纷执行实施执行裁定书,,FBMCLI.C.569235058,,执行裁定书,陕西某某无人机科技有限公司运输合同纠纷执行实施 | 涉诉企业:牛某某某,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816d58c495fea5c280f652995b50bde
1345,司法案例,牛贵臻与周君前、山东高普无人机科技有限责任公司机动车交通事故责任纠纷一审民事裁定书,,FBMCLI.C.91025327,,民事裁定书,牛贵臻与周君前、山东高普无人机科技有限责任公司机动车交通事故责任纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b0cb36bae1e1ecee3f58a244c1f4
1346,司法案例,王伟、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书,,FBMCLI.C.431930185,,执行裁定书,王伟、北航富羽无人机（深圳）有限公司劳动争议首次执行,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b743aab83b90241ce82c4e79851
1347,司法案例,王培德与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事判决书,,FBMCLI.C.86540738,,民事判决书,王培德与陈加华、广东澄星无人机股份有限公司民间借贷纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47ab12c72f019080d52496033fa9
1348,司法案例,王子恒与沈阳市卓云尚智无人机科技有限公司服务合同纠纷一审民事裁定书,,FBMCLI.C.506732664,,民事裁定书,王子恒与沈阳市卓云尚智无人机科技有限公司服务合同纠纷,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206a22d1874d37a24d82294620faa8
1349,司法案例,王晓亮、深圳智航无人机有限公司劳动争议首次执行执行裁定书,,FBMCLI.C.404287809,,执行裁定书,王晓亮、深圳智航无人机有限公司劳动争议首次执行,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1d3925961fe8d9f9f4bc435fe4ca2e
1350,司法案例,王某与富平县韦加无人机有限公司劳动合同纠纷一案,,FBMCLI.C.109087840,,,王某与富平县韦加无人机有限公司劳动合同纠纷一案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc484089a3c31336f8b0fb0092ee5f0
1351,司法案例,王某花;山西某某无人机科技有限公司;金牛区某某消防器材经营部买卖合同纠纷首次执行执行裁定书,,FBMCLI.C.574499553,,执行裁定书,金牛区某某消防器材经营部买卖合同纠纷首次执行 | 涉诉企业:王某花,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816ade365b997024735507b1b340a
1352,司法案例,王艳;江苏网智无人机研究院有限公司;徐州新农合互联网金融服务有限公司;杨远买卖合同纠纷一审民事裁定书,,FBMCLI.C.565961418,,民事裁定书,杨远买卖合同纠纷 | 涉诉企业:王艳,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f8163a15c55fdf744ea63e6690eda131
1353,司法案例,王雄彪、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,FBMCLI.C.313304610,,执行裁定书,王雄彪、广东澄星无人机股份有限公司买卖合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a79c0276efcff7d8f854606bfc36d8
1354,司法案例,王雄彪与广东澄星无人机股份有限公司、汕头市澄海区丰裕玩具有限公司买卖合同纠纷一案民事一审判决书,,FBMCLI.C.106014814,,,王雄彪与广东澄星无人机股份有限公司、汕头市澄海区丰裕玩具有限公司买卖合同纠纷一案民事一审判决书,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41fbf984f15121a24999f5ccaa996
1355,司法案例,甘谋与湖南博航无人机技术有限公司其他合同纠纷案件结案通知书,,FBMCLI.C.87374800,,通知书,甘谋与湖南博航无人机技术有限公司其他合同纠纷案件结案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4020664af7a4afed45b26fe79531d
1356,司法案例,田梦长与黑龙江省建三江农垦永立无人机销售有限公司买卖合同纠纷一审民事裁定书,,FBMCLI.C.304908743,,民事裁定书,田梦长与黑龙江省建三江农垦永立无人机销售有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a4c6bd757712e7bf3233289810d0
1357,司法案例,申请人侯立强与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,FBMCLI.C.57677381,,,申请人侯立强与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3813e76834c14ab668e3bedd437cf
1358,司法案例,申请人刘阳与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,FBMCLI.C.57677319,,,申请人刘阳与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3e307980f7a6f28bf4c7043f1a3341
1359,司法案例,申请人李昂与 被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,FBMCLI.C.57756887,,,申请人李昂与 被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f340d846088d07d3656554456a1f2
1360,司法案例,申请人王舸与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,FBMCLI.C.57557974,,,申请人王舸与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f38c785c570bae3c80161a32ac45ec
1361,司法案例,申请人长沙无源定位工程技术研究院与被申请人湖南中斯航迹无人机科技有限公司、黄乾洁诉前财产保全纠纷一案结案通知书,,FBMCLI.C.101098822,,通知书,申请人长沙无源定位工程技术研究院与被申请人湖南中斯航迹无人机科技有限公司、黄乾洁诉前财产保全纠纷一案结案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a585e7d8638ab1cd9aca4b7dadc
1362,司法案例,申请人鞠国铖与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,FBMCLI.C.57677415,,,申请人鞠国铖与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3520d176976ec8ac0585eefd87b8e
1363,司法案例,申请人鲁英新诉被申请人辽宁壮龙无人机科技有限公司民间借贷纠纷一案民事裁定书,,FBMCLI.C.101333635,,民事裁定书,申请人鲁英新诉被申请人辽宁壮龙无人机科技有限公司民间借贷纠纷一案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47a41223b389095a1149a1c282a
1364,司法案例,申请保全人鲁英新与被保全人辽宁壮龙无人机科技有限公司借款合同纠纷一案执行结案通知书,,FBMCLI.C.106151080,,通知书,申请保全人鲁英新与被保全人辽宁壮龙无人机科技有限公司借款合同纠纷一案执行结案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a595d02eb8ed01a8b33f6e3d21f
1365,司法案例,申请执行人宋倩与被执行人逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书,,FBMCLI.C.115630983,,通知书,申请执行人宋倩与被执行人逊克翱龙无人机科技有限公司劳务合同纠纷一案结案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41ff09fafbd0b8ca778fb5e6cac18f
1366,司法案例,申请执行人武汉光谷环保科技股份有限公司与被执行人洛克希德(武汉)无人机科学研究院有限公司合同纠纷执行裁定书,,FBMCLI.C.303939176,,执行裁定书,申请执行人武汉光谷环保科技股份有限公司与被执行人洛克希德(武汉)无人机科学研究院有限公司合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad618ff8ce4cfc179b2422c6e9d5c
1367,司法案例,申请执行人长沙无源定位工程技术研究院申请执行被执行人湖南中斯航迹无人机科技有限公司、黄乾洁民间借贷纠纷一案执行裁定书,,FBMCLI.C.115757581,,执行裁定书,申请执行人长沙无源定位工程技术研究院申请执行被执行人湖南中斯航迹无人机科技有限公司、黄乾洁民间借贷纠纷一案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc467f2495691bc9f2138fe4a0b8c7e
1368,司法案例,白宇龙、辽宁大壮无人机科技有限公司劳动争议二审判决书,,FBMCLI.C.503379533,,,白宇龙、辽宁大壮无人机科技有限公司劳动争议二审判决书,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206d66df1d3477020136968dc7a637f
1369,司法案例,秦振山与山东乐松无人机科技有限公司买卖合同纠纷一审民事裁定书,,FBMCLI.C.107393847,,民事裁定书,秦振山与山东乐松无人机科技有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc45cf6ec32138584fe810451a2e6e
1370,司法案例,秦振山与山东乐松无人机科技有限公司买卖合同纠纷管辖民事裁定书,,FBMCLI.C.99590602,,民事裁定书,秦振山与山东乐松无人机科技有限公司买卖合同纠纷管辖,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e7e6e6333cdd31935f56a4d378b
1371,司法案例,空中未来无人机技术(北京)有限公司与北京杏林大汇健康管理有限公司庆典服务合同纠纷一审民事裁定书,,FBMCLI.C.430461770,,民事裁定书,空中未来无人机技术(北京)有限公司与北京杏林大汇健康管理有限公司庆典服务合同纠纷,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1907502ea17b72ee85b4f03f74ce3
1372,司法案例,粤1972执8401号广东澄星无人机股份有限公司买卖合同纠纷的结案通知书,,FBMCLI.C.323322292,,通知书,粤1972执8401号广东澄星无人机股份有限公司买卖合同纠纷的结案,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a3cb2a4266cce023f9761055bbc0
1373,司法案例,索某某、逊克翱龙无人机科技有限公司合同纠纷首次执行执行裁定书,,FBMCLI.C.553223281,,执行裁定书,索某某、逊克翱龙无人机科技有限公司合同纠纷首次执行,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f2069bc728b7e45df9055d2b06b81b5
1374,司法案例,翟军;山东福莱特无人机制造有限公司合同纠纷执行实施执行通知书,,FBMCLI.C.568909236,,通知书,山东福莱特无人机制造有限公司合同纠纷执行实施执行 | 涉诉企业:翟军,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f8168ea8dbb11871336d77ba874109
1375,司法案例,翟晓沛与德奥无人机运营服务有限公司劳动争议执行裁定书,,FBMCLI.C.93140305,,执行裁定书,翟晓沛与德奥无人机运营服务有限公司劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c4092445b634424ddf9dd21d79f
1376,司法案例,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司合同纠纷一案,,FBMCLI.C.407033255,,,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司合同纠纷一案,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1c9bf16cbc429768d2124c361eb32
1377,司法案例,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司张鹏森合同纠纷一案,,FBMCLI.C.405944530,,,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司张鹏森合同纠纷一案,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1289f87fb76fc48dcd24409a94b52
1378,司法案例,胡晓敏、成都三足乌无人机科技有限公司劳动争议二审民事裁定书,,FBMCLI.C.62028630,,民事裁定书,胡晓敏、成都三足乌无人机科技有限公司劳动争议,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f33f59b8361bd144a64e0dc6d34c1c
1379,司法案例,胡晓敏与成都三足乌无人机科技有限公司劳动争议纠纷一案执行完毕通知书,,FBMCLI.C.62586400,,通知书,胡晓敏与成都三足乌无人机科技有限公司劳动争议纠纷一案执行完毕,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f38b752e45b7139dcc1361ed9e04a
1380,司法案例,舞钢市泽源发展投资有限公司与河南省豫飞防植保无人机有限公司租赁合同纠纷一审民事裁定书,,FBMCLI.C.313475470,,民事裁定书,舞钢市泽源发展投资有限公司与河南省豫飞防植保无人机有限公司租赁合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad513774cabd431ab20a152eef3d
1381,司法案例,航天彩虹无人机股份有限公司、齐某某劳动争议一审民事其他文书,,FBMCLI.C.311077020,,,航天彩虹无人机股份有限公司、齐某某劳动争议一审民事其他文书,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a694ecbf90038b167aaaade053e3
