序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
543,pkulaw,案例,司法案例,牛某某某;陕西某某无人机科技有限公司运输合同纠纷执行实施执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\牛某某某;陕西某某无人机科技有限公司运输合同纠纷执行实施执行裁定书(FBMCLI.C.569235058).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816d58c495fea5c280f652995b50bde,引证码FBMCLI.C.569235058｜司法案例(单独管线)
544,pkulaw,案例,司法案例,牛贵臻与周君前、山东高普无人机科技有限责任公司机动车交通事故责任纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\牛贵臻与周君前、山东高普无人机科技有限责任公司机动车交通事故责任纠纷一审民事裁定书(FBMCLI.C.91025327).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b0cb36bae1e1ecee3f58a244c1f4,引证码FBMCLI.C.91025327｜司法案例(单独管线)
545,pkulaw,案例,司法案例,王伟、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王伟、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书(FBMCLI.C.431930185).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b743aab83b90241ce82c4e79851,引证码FBMCLI.C.431930185｜司法案例(单独管线)
546,pkulaw,案例,司法案例,王培德与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王培德与陈加华、广东澄星无人机股份有限公司民间借贷纠纷一审民事判决书(FBMCLI.C.86540738).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47ab12c72f019080d52496033fa9,引证码FBMCLI.C.86540738｜司法案例(单独管线)
547,pkulaw,案例,司法案例,王子恒与沈阳市卓云尚智无人机科技有限公司服务合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王子恒与沈阳市卓云尚智无人机科技有限公司服务合同纠纷一审民事裁定书(FBMCLI.C.506732664).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206a22d1874d37a24d82294620faa8,引证码FBMCLI.C.506732664｜司法案例(单独管线)
548,pkulaw,案例,司法案例,王晓亮、深圳智航无人机有限公司劳动争议首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王晓亮、深圳智航无人机有限公司劳动争议首次执行执行裁定书(FBMCLI.C.404287809).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1d3925961fe8d9f9f4bc435fe4ca2e,引证码FBMCLI.C.404287809｜司法案例(单独管线)
549,pkulaw,案例,司法案例,王某与富平县韦加无人机有限公司劳动合同纠纷一案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王某与富平县韦加无人机有限公司劳动合同纠纷一案(FBMCLI.C.109087840).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc484089a3c31336f8b0fb0092ee5f0,引证码FBMCLI.C.109087840｜司法案例(单独管线)
550,pkulaw,案例,司法案例,王某花;山西某某无人机科技有限公司;金牛区某某消防器材经营部买卖合同纠纷首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王某花;山西某某无人机科技有限公司;金牛区某某消防器材经营部买卖合同纠纷首次执行执行裁定书(FBMCLI.C.574499553).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816ade365b997024735507b1b340a,引证码FBMCLI.C.574499553｜司法案例(单独管线)
551,pkulaw,案例,司法案例,王艳;江苏网智无人机研究院有限公司;徐州新农合互联网金融服务有限公司;杨远买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王艳;江苏网智无人机研究院有限公司;徐州新农合互联网金融服务有限公司;杨远买卖合同纠纷一审民事裁定书(FBMCLI.C.565961418).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8163a15c55fdf744ea63e6690eda131,引证码FBMCLI.C.565961418｜司法案例(单独管线)
552,pkulaw,案例,司法案例,王雄彪、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王雄彪、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书(FBMCLI.C.313304610).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a79c0276efcff7d8f854606bfc36d8,引证码FBMCLI.C.313304610｜司法案例(单独管线)
553,pkulaw,案例,司法案例,王雄彪与广东澄星无人机股份有限公司、汕头市澄海区丰裕玩具有限公司买卖合同纠纷一案民事一审判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\王雄彪与广东澄星无人机股份有限公司、汕头市澄海区丰裕玩具有限公司买卖合同纠纷一案民事一审判决书(FBMCLI.C.106014814).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41fbf984f15121a24999f5ccaa996,引证码FBMCLI.C.106014814｜司法案例(单独管线)
554,pkulaw,案例,司法案例,甘谋与湖南博航无人机技术有限公司其他合同纠纷案件结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\甘谋与湖南博航无人机技术有限公司其他合同纠纷案件结案通知书(FBMCLI.C.87374800).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4020664af7a4afed45b26fe79531d,引证码FBMCLI.C.87374800｜司法案例(单独管线)
555,pkulaw,案例,司法案例,田梦长与黑龙江省建三江农垦永立无人机销售有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\田梦长与黑龙江省建三江农垦永立无人机销售有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.304908743).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a4c6bd757712e7bf3233289810d0,引证码FBMCLI.C.304908743｜司法案例(单独管线)
556,pkulaw,案例,司法案例,申请人侯立强与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人侯立强与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决(FBMCLI.C.57677381).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3813e76834c14ab668e3bedd437cf,引证码FBMCLI.C.57677381｜司法案例(单独管线)
557,pkulaw,案例,司法案例,申请人刘阳与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人刘阳与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决(FBMCLI.C.57677319).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3e307980f7a6f28bf4c7043f1a3341,引证码FBMCLI.C.57677319｜司法案例(单独管线)
558,pkulaw,案例,司法案例,申请人李昂与 被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人李昂与 被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决(FBMCLI.C.57756887).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f340d846088d07d3656554456a1f2,引证码FBMCLI.C.57756887｜司法案例(单独管线)
559,pkulaw,案例,司法案例,申请人王舸与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人王舸与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决(FBMCLI.C.57557974).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f38c785c570bae3c80161a32ac45ec,引证码FBMCLI.C.57557974｜司法案例(单独管线)
560,pkulaw,案例,司法案例,申请人长沙无源定位工程技术研究院与被申请人湖南中斯航迹无人机科技有限公司、黄乾洁诉前财产保全纠纷一案结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人长沙无源定位工程技术研究院与被申请人湖南中斯航迹无人机科技有限公司、黄乾洁诉前财产保全纠纷一案结案通知书(FBMCLI.C.101098822).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a585e7d8638ab1cd9aca4b7dadc,引证码FBMCLI.C.101098822｜司法案例(单独管线)
561,pkulaw,案例,司法案例,申请人鞠国铖与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人鞠国铖与被执行人黑龙江大悟开疆无人机科技股份有限公司国内非涉外仲裁裁决(FBMCLI.C.57677415).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3520d176976ec8ac0585eefd87b8e,引证码FBMCLI.C.57677415｜司法案例(单独管线)
562,pkulaw,案例,司法案例,申请人鲁英新诉被申请人辽宁壮龙无人机科技有限公司民间借贷纠纷一案民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请人鲁英新诉被申请人辽宁壮龙无人机科技有限公司民间借贷纠纷一案民事裁定书(FBMCLI.C.101333635).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47a41223b389095a1149a1c282a,引证码FBMCLI.C.101333635｜司法案例(单独管线)
563,pkulaw,案例,司法案例,申请保全人鲁英新与被保全人辽宁壮龙无人机科技有限公司借款合同纠纷一案执行结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请保全人鲁英新与被保全人辽宁壮龙无人机科技有限公司借款合同纠纷一案执行结案通知书(FBMCLI.C.106151080).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a595d02eb8ed01a8b33f6e3d21f,引证码FBMCLI.C.106151080｜司法案例(单独管线)
564,pkulaw,案例,司法案例,申请执行人宋倩与被执行人逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请执行人宋倩与被执行人逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书(FBMCLI.C.115630983).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41ff09fafbd0b8ca778fb5e6cac18f,引证码FBMCLI.C.115630983｜司法案例(单独管线)
565,pkulaw,案例,司法案例,申请执行人武汉光谷环保科技股份有限公司与被执行人洛克希德(武汉)无人机科学研究院有限公司合同纠纷执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请执行人武汉光谷环保科技股份有限公司与被执行人洛克希德(武汉)无人机科学研究院有限公司合同纠纷执行裁定书(FBMCLI.C.303939176).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad618ff8ce4cfc179b2422c6e9d5c,引证码FBMCLI.C.303939176｜司法案例(单独管线)
566,pkulaw,案例,司法案例,申请执行人长沙无源定位工程技术研究院申请执行被执行人湖南中斯航迹无人机科技有限公司、黄乾洁民间借贷纠纷一案执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\申请执行人长沙无源定位工程技术研究院申请执行被执行人湖南中斯航迹无人机科技有限公司、黄乾洁民间借贷纠纷一案执行裁定书(FBMCLI.C.115757581).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc467f2495691bc9f2138fe4a0b8c7e,引证码FBMCLI.C.115757581｜司法案例(单独管线)
567,pkulaw,案例,司法案例,白宇龙、辽宁大壮无人机科技有限公司劳动争议二审判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\白宇龙、辽宁大壮无人机科技有限公司劳动争议二审判决书(FBMCLI.C.503379533).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206d66df1d3477020136968dc7a637f,引证码FBMCLI.C.503379533｜司法案例(单独管线)
568,pkulaw,案例,司法案例,秦振山与山东乐松无人机科技有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\秦振山与山东乐松无人机科技有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.107393847).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc45cf6ec32138584fe810451a2e6e,引证码FBMCLI.C.107393847｜司法案例(单独管线)
569,pkulaw,案例,司法案例,秦振山与山东乐松无人机科技有限公司买卖合同纠纷管辖民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\秦振山与山东乐松无人机科技有限公司买卖合同纠纷管辖民事裁定书(FBMCLI.C.99590602).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e7e6e6333cdd31935f56a4d378b,引证码FBMCLI.C.99590602｜司法案例(单独管线)
570,pkulaw,案例,司法案例,空中未来无人机技术(北京)有限公司与北京杏林大汇健康管理有限公司庆典服务合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\空中未来无人机技术(北京)有限公司与北京杏林大汇健康管理有限公司庆典服务合同纠纷一审民事裁定书(FBMCLI.C.430461770).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1907502ea17b72ee85b4f03f74ce3,引证码FBMCLI.C.430461770｜司法案例(单独管线)
571,pkulaw,案例,司法案例,粤1972执8401号广东澄星无人机股份有限公司买卖合同纠纷的结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\粤1972执8401号广东澄星无人机股份有限公司买卖合同纠纷的结案通知书(FBMCLI.C.323322292).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a3cb2a4266cce023f9761055bbc0,引证码FBMCLI.C.323322292｜司法案例(单独管线)
572,pkulaw,案例,司法案例,索某某、逊克翱龙无人机科技有限公司合同纠纷首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\索某某、逊克翱龙无人机科技有限公司合同纠纷首次执行执行裁定书(FBMCLI.C.553223281).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2069bc728b7e45df9055d2b06b81b5,引证码FBMCLI.C.553223281｜司法案例(单独管线)
573,pkulaw,案例,司法案例,翟军;山东福莱特无人机制造有限公司合同纠纷执行实施执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\翟军;山东福莱特无人机制造有限公司合同纠纷执行实施执行通知书(FBMCLI.C.568909236).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8168ea8dbb11871336d77ba874109,引证码FBMCLI.C.568909236｜司法案例(单独管线)
574,pkulaw,案例,司法案例,翟晓沛与德奥无人机运营服务有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\翟晓沛与德奥无人机运营服务有限公司劳动争议执行裁定书(FBMCLI.C.93140305).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c4092445b634424ddf9dd21d79f,引证码FBMCLI.C.93140305｜司法案例(单独管线)
575,pkulaw,案例,司法案例,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司合同纠纷一案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司合同纠纷一案(FBMCLI.C.407033255).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1c9bf16cbc429768d2124c361eb32,引证码FBMCLI.C.407033255｜司法案例(单独管线)
576,pkulaw,案例,司法案例,肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司张鹏森合同纠纷一案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\肖萍刘明明与何平杨帆洛克希德（武汉）无人机科学研究院有限公司张鹏森合同纠纷一案(FBMCLI.C.405944530).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1289f87fb76fc48dcd24409a94b52,引证码FBMCLI.C.405944530｜司法案例(单独管线)
577,pkulaw,案例,司法案例,胡晓敏、成都三足乌无人机科技有限公司劳动争议二审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\胡晓敏、成都三足乌无人机科技有限公司劳动争议二审民事裁定书(FBMCLI.C.62028630).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f33f59b8361bd144a64e0dc6d34c1c,引证码FBMCLI.C.62028630｜司法案例(单独管线)
578,pkulaw,案例,司法案例,胡晓敏与成都三足乌无人机科技有限公司劳动争议纠纷一案执行完毕通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\胡晓敏与成都三足乌无人机科技有限公司劳动争议纠纷一案执行完毕通知书(FBMCLI.C.62586400).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f38b752e45b7139dcc1361ed9e04a,引证码FBMCLI.C.62586400｜司法案例(单独管线)
579,pkulaw,案例,司法案例,舞钢市泽源发展投资有限公司与河南省豫飞防植保无人机有限公司租赁合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\舞钢市泽源发展投资有限公司与河南省豫飞防植保无人机有限公司租赁合同纠纷一审民事裁定书(FBMCLI.C.313475470).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad513774cabd431ab20a152eef3d,引证码FBMCLI.C.313475470｜司法案例(单独管线)
580,pkulaw,案例,司法案例,航天彩虹无人机股份有限公司、齐某某劳动争议一审民事其他文书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\航天彩虹无人机股份有限公司、齐某某劳动争议一审民事其他文书(FBMCLI.C.311077020).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a694ecbf90038b167aaaade053e3,引证码FBMCLI.C.311077020｜司法案例(单独管线)
581,pkulaw,案例,司法案例,航天彩虹无人机股份有限公司、齐某某劳动争议一审民事调解书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\航天彩虹无人机股份有限公司、齐某某劳动争议一审民事调解书(FBMCLI.C.121125680).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc475c394e8f3c2fdf60637cf51ca9ee,引证码FBMCLI.C.121125680｜司法案例(单独管线)
582,pkulaw,案例,司法案例,航天彩虹无人机股份有限公司与依索(苏州)合成材料有限公司买卖合同纠纷执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\航天彩虹无人机股份有限公司与依索(苏州)合成材料有限公司买卖合同纠纷执行裁定书(FBMCLI.C.112125092).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc44dc1b89fe7a391f1a724c90433e,引证码FBMCLI.C.112125092｜司法案例(单独管线)
583,pkulaw,案例,司法案例,苏国泽与广东澄星无人机股份有限公司、陈加华民间借贷纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\苏国泽与广东澄星无人机股份有限公司、陈加华民间借贷纠纷一审民事判决书(FBMCLI.C.86545210).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41ed802f2e962179a0af17c7dd79f,引证码FBMCLI.C.86545210｜司法案例(单独管线)
584,pkulaw,案例,司法案例,茵德斯工业设计（宁波）有限公司与宁波派丽肯无人机有限公司委托合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\茵德斯工业设计（宁波）有限公司与宁波派丽肯无人机有限公司委托合同纠纷一审民事裁定书(FBMCLI.C.115892872).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47af040c2d8ac2c1fc4075d6bb3d8,引证码FBMCLI.C.115892872｜司法案例(单独管线)
585,pkulaw,案例,司法案例,萝北县凤翔镇中盈无人机经销站、单衍君买卖合同纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\萝北县凤翔镇中盈无人机经销站、单衍君买卖合同纠纷民事二审民事判决书(FBMCLI.C.418944676).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce158577a2f67b29cb6a9f7e3a387a0,引证码FBMCLI.C.418944676｜司法案例(单独管线)
586,pkulaw,案例,司法案例,萝北县凤翔镇中盈无人机经销站与单某君买卖合同纠纷申请再审案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\萝北县凤翔镇中盈无人机经销站与单某君买卖合同纠纷申请再审案(FBMCLI.C.551895508).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206378c1e7f3b3ae942b9545347ba3c,引证码FBMCLI.C.551895508｜司法案例(单独管线)
587,pkulaw,案例,司法案例,葛继刚与吴春生、许昌鼎昂无人机科技有限公司股权转让纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\葛继刚与吴春生、许昌鼎昂无人机科技有限公司股权转让纠纷一审民事判决书(FBMCLI.C.523242208).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206ad330af75043c6231af0d728e8b8,引证码FBMCLI.C.523242208｜司法案例(单独管线)
588,pkulaw,案例,司法案例,蒋开平周华等与李建重庆乐禾无人机有限公司合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蒋开平周华等与李建重庆乐禾无人机有限公司合同纠纷二审民事判决书(FBMCLI.C.313826683).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ac765006eeaaf4aaa6b726d4bd74,引证码FBMCLI.C.313826683｜有附件｜司法案例(单独管线)
589,pkulaw,案例,司法案例,蒙城县庄子进出口贸易有限公司、蒙城县黄赛无人机有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蒙城县庄子进出口贸易有限公司、蒙城县黄赛无人机有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.318397881).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a02aa1a2742b0f6da050f30e197a,引证码FBMCLI.C.318397881｜司法案例(单独管线)
590,pkulaw,案例,司法案例,蒙城县庄子进出口贸易有限公司、蒙城县黄赛无人机有限公司等民间借贷纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蒙城县庄子进出口贸易有限公司、蒙城县黄赛无人机有限公司等民间借贷纠纷民事一审民事判决书(FBMCLI.C.407864250).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1d71daf3eb68ccbd6d5f7b3d29a20,引证码FBMCLI.C.407864250｜司法案例(单独管线)
591,pkulaw,案例,司法案例,蒙城县庄子进出口贸易有限公司与蒙城县黄赛无人机有限公司、广州黄赛航空科技有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蒙城县庄子进出口贸易有限公司与蒙城县黄赛无人机有限公司、广州黄赛航空科技有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.318397797).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a255142f7fdc58b05e8f02fb02375,引证码FBMCLI.C.318397797｜司法案例(单独管线)
592,pkulaw,案例,司法案例,蒙城县黄赛无人机有限公司、广东黄赛航空科技有限公司等民间借贷纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蒙城县黄赛无人机有限公司、广东黄赛航空科技有限公司等民间借贷纠纷民事二审民事判决书(FBMCLI.C.407648099).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1a5629627a392db9edaff928ea865,引证码FBMCLI.C.407648099｜司法案例(单独管线)
593,pkulaw,案例,司法案例,蓝牛仔影像（北京）有限公司与武汉无人机之家信息技术有限公司著作权权属、侵权纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\蓝牛仔影像（北京）有限公司与武汉无人机之家信息技术有限公司著作权权属、侵权纠纷一审民事裁定书(FBMCLI.C.89160649).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc431306304b2835dcf7200b268d87,引证码FBMCLI.C.89160649｜司法案例(单独管线)
594,pkulaw,案例,司法案例,虎林市德盛农机有限公司、黑龙江慈航农用无人机科技有限公司买卖合同纠纷首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\虎林市德盛农机有限公司、黑龙江慈航农用无人机科技有限公司买卖合同纠纷首次执行执行裁定书(FBMCLI.C.502713125).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2063f1c22437dbc47c888d784214819,引证码FBMCLI.C.502713125｜司法案例(单独管线)
595,pkulaw,案例,司法案例,虎林市德盛农机有限公司、黑龙江慈航农用无人机科技有限公司合同纠纷二审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\虎林市德盛农机有限公司、黑龙江慈航农用无人机科技有限公司合同纠纷二审民事裁定书(FBMCLI.C.322226456).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a127a2741657e66743e87f9ed6b8,引证码FBMCLI.C.322226456｜司法案例(单独管线)
596,pkulaw,案例,司法案例,虎林市极飞农业机械植保无人机、郑楠买卖合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\虎林市极飞农业机械植保无人机、郑楠买卖合同纠纷二审民事判决书(FBMCLI.C.322494217).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0abfe31514bd8b8607a55ef140a18,引证码FBMCLI.C.322494217｜司法案例(单独管线)
597,pkulaw,案例,司法案例,虎林市极飞农业机械植保无人机与孙艳禹劳务合同纠纷,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\虎林市极飞农业机械植保无人机与孙艳禹劳务合同纠纷(FBMCLI.C.112212256).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41905706d326c347ebda42f28842,引证码FBMCLI.C.112212256｜司法案例(单独管线)
598,pkulaw,案例,司法案例,虎林市极飞农业机械植保无人机劳务合同纠纷首次执行执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\虎林市极飞农业机械植保无人机劳务合同纠纷首次执行执行通知书(FBMCLI.C.418923019).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1f3c3d943c99ddaff0521422bf7951,引证码FBMCLI.C.418923019｜司法案例(单独管线)
599,pkulaw,案例,司法案例,融通农业发展（武汉）有限责任公司、大荔县绿濛濛无人机植保专业合作社等租赁合同纠纷财产保全执行执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\融通农业发展（武汉）有限责任公司、大荔县绿濛濛无人机植保专业合作社等租赁合同纠纷财产保全执行执行通知书(FBMCLI.C.545730341).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2068d78bd4b391d6cbcb6100fca7bc3,引证码FBMCLI.C.545730341｜司法案例(单独管线)
